Comp	Super.Site	Value	Privacy	Species.mOTUs	Indiv	Part
159551223:supragingivalplaque:meta_mOTU_v2_6046	Oral	-0.16133674675589998	Private	meta_mOTU_v2_6046	159551223	supragingivalplaque
159591683:supragingivalplaque:meta_mOTU_v2_6046	Oral	-0.120427632969026	Private	meta_mOTU_v2_6046	159591683	supragingivalplaque
160158126:supragingivalplaque:meta_mOTU_v2_6046	Oral	-0.107574091624246	Private	meta_mOTU_v2_6046	160158126	supragingivalplaque
706846339:supragingivalplaque:meta_mOTU_v2_6046	Oral	-0.158445710082958	Private	meta_mOTU_v2_6046	706846339	supragingivalplaque
763901136:supragingivalplaque:meta_mOTU_v2_6046	Oral	-0.137652934823219	Private	meta_mOTU_v2_6046	763901136	supragingivalplaque
765013792:supragingivalplaque:meta_mOTU_v2_6046	Oral	0.1067936788088	Not Private	meta_mOTU_v2_6046	765013792	supragingivalplaque
765094712:supragingivalplaque:meta_mOTU_v2_6046	Oral	-0.09424486302449998	Private	meta_mOTU_v2_6046	765094712	supragingivalplaque
809635352:supragingivalplaque:meta_mOTU_v2_6046	Oral	1.54738686267e-4	Not Private	meta_mOTU_v2_6046	809635352	supragingivalplaque
158479027:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.03846629062950001	Private	meta_mOTU_v2_6288	158479027	tonguedorsum
158499257:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.02742713097249999	Private	meta_mOTU_v2_6288	158499257	tonguedorsum
158883629:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.013106654934100001	Private	meta_mOTU_v2_6288	158883629	tonguedorsum
159227541:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.002003199598300004	Private	meta_mOTU_v2_6288	159227541	tonguedorsum
159591683:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.026392986066599997	Private	meta_mOTU_v2_6288	159591683	tonguedorsum
159753524:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.007508046068900001	Private	meta_mOTU_v2_6288	159753524	tonguedorsum
160158126:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.049169561708299996	Private	meta_mOTU_v2_6288	160158126	tonguedorsum
160178356:tonguedorsum:meta_mOTU_v2_6288	Oral	-7.092383006999936e-4	Private	meta_mOTU_v2_6288	160178356	tonguedorsum
160421117:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.022706514965399993	Private	meta_mOTU_v2_6288	160421117	tonguedorsum
160502038:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.0482592159784	Private	meta_mOTU_v2_6288	160502038	tonguedorsum
160582958:tonguedorsum:meta_mOTU_v2_6288	Oral	0.0040104919446	Not Private	meta_mOTU_v2_6288	160582958	tonguedorsum
160603188:tonguedorsum:meta_mOTU_v2_6288	Oral	-5.091459805999995e-4	Private	meta_mOTU_v2_6288	160603188	tonguedorsum
508703490:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.011197626377299999	Private	meta_mOTU_v2_6288	508703490	tonguedorsum
675950834:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.01967719708400001	Private	meta_mOTU_v2_6288	675950834	tonguedorsum
763820215:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.004096118941300006	Private	meta_mOTU_v2_6288	763820215	tonguedorsum
763901136:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.026710829153900002	Private	meta_mOTU_v2_6288	763901136	tonguedorsum
763961826:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.019359024749599996	Private	meta_mOTU_v2_6288	763961826	tonguedorsum
764588959:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.0026628842316000073	Private	meta_mOTU_v2_6288	764588959	tonguedorsum
765337473:tonguedorsum:meta_mOTU_v2_6288	Oral	-0.049246021811099994	Private	meta_mOTU_v2_6288	765337473	tonguedorsum
823052294:tonguedorsum:meta_mOTU_v2_6288	Oral	0.034881968436200006	Not Private	meta_mOTU_v2_6288	823052294	tonguedorsum
158337416:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.10663432384755	Private	meta_mOTU_v2_6427	158337416	tonguedorsum
158479027:tonguedorsum:meta_mOTU_v2_6427	Oral	0.0091809922328	Not Private	meta_mOTU_v2_6427	158479027	tonguedorsum
159551223:tonguedorsum:meta_mOTU_v2_6427	Oral	0.010906057822999998	Not Private	meta_mOTU_v2_6427	159551223	tonguedorsum
159571453:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.06746721182330001	Private	meta_mOTU_v2_6427	159571453	tonguedorsum
160421117:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.009764993496	Private	meta_mOTU_v2_6427	160421117	tonguedorsum
160582958:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.09303341408405799	Private	meta_mOTU_v2_6427	160582958	tonguedorsum
246515023:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.08569060368810001	Private	meta_mOTU_v2_6427	246515023	tonguedorsum
508703490:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.119153913575649	Private	meta_mOTU_v2_6427	508703490	tonguedorsum
550534656:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.08410687267566899	Private	meta_mOTU_v2_6427	550534656	tonguedorsum
638754422:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.0321280532251	Private	meta_mOTU_v2_6427	638754422	tonguedorsum
675950834:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.0386561389811	Private	meta_mOTU_v2_6427	675950834	tonguedorsum
763536994:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.109381464099209	Private	meta_mOTU_v2_6427	763536994	tonguedorsum
763577454:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.0565350607836	Private	meta_mOTU_v2_6427	763577454	tonguedorsum
763840445:tonguedorsum:meta_mOTU_v2_6427	Oral	0.0186048865727	Not Private	meta_mOTU_v2_6427	763840445	tonguedorsum
763982056:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.09701113320164999	Private	meta_mOTU_v2_6427	763982056	tonguedorsum
764325968:tonguedorsum:meta_mOTU_v2_6427	Oral	0.002392889126399997	Not Private	meta_mOTU_v2_6427	764325968	tonguedorsum
765701615:tonguedorsum:meta_mOTU_v2_6427	Oral	0.006196817087399997	Not Private	meta_mOTU_v2_6427	765701615	tonguedorsum
857980665:tonguedorsum:meta_mOTU_v2_6427	Oral	-0.0323014548607	Private	meta_mOTU_v2_6427	857980665	tonguedorsum
159571453:supragingivalplaque:meta_mOTU_v2_6427	Oral	0.21236315740899997	Not Private	meta_mOTU_v2_6427	159571453	supragingivalplaque
158337416:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.081434072000911	Private	meta_mOTU_v2_6790	158337416	tonguedorsum
158499257:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.035001161136636996	Private	meta_mOTU_v2_6790	158499257	tonguedorsum
158883629:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.07898749184973	Private	meta_mOTU_v2_6790	158883629	tonguedorsum
159369152:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.08803240771999998	Private	meta_mOTU_v2_6790	159369152	tonguedorsum
160158126:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.0010016348122999993	Private	meta_mOTU_v2_6790	160158126	tonguedorsum
370425937:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.152225460837328	Private	meta_mOTU_v2_6790	370425937	tonguedorsum
763435843:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.0955457151944	Private	meta_mOTU_v2_6790	763435843	tonguedorsum
763860675:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.058470064077899994	Private	meta_mOTU_v2_6790	763860675	tonguedorsum
764083206:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.08935800855829999	Private	meta_mOTU_v2_6790	764083206	tonguedorsum
764224817:tonguedorsum:meta_mOTU_v2_6790	Oral	-0.06321137498740001	Private	meta_mOTU_v2_6790	764224817	tonguedorsum
765701615:tonguedorsum:meta_mOTU_v2_6790	Oral	0.005012536673300011	Not Private	meta_mOTU_v2_6790	765701615	tonguedorsum
159369152:tonguedorsum:meta_mOTU_v2_6924	Oral	-0.03144754942900001	Private	meta_mOTU_v2_6924	159369152	tonguedorsum
764649650:tonguedorsum:meta_mOTU_v2_6924	Oral	-0.046124303534100006	Private	meta_mOTU_v2_6924	764649650	tonguedorsum
765701615:tonguedorsum:meta_mOTU_v2_6924	Oral	-0.0870271864702	Private	meta_mOTU_v2_6924	765701615	tonguedorsum
158802708:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.06173861393909999	Private	meta_mOTU_v2_6934	158802708	tonguedorsum
158883629:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.0962968656805	Private	meta_mOTU_v2_6934	158883629	tonguedorsum
159551223:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.061002860222950005	Private	meta_mOTU_v2_6934	159551223	tonguedorsum
159611913:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.050605859721099995	Private	meta_mOTU_v2_6934	159611913	tonguedorsum
160582958:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.055058765350700006	Private	meta_mOTU_v2_6934	160582958	tonguedorsum
550534656:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.07802333191414801	Private	meta_mOTU_v2_6934	550534656	tonguedorsum
663835652:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.12878039608528	Private	meta_mOTU_v2_6934	663835652	tonguedorsum
763982056:tonguedorsum:meta_mOTU_v2_6934	Oral	0.0393133789079	Not Private	meta_mOTU_v2_6934	763982056	tonguedorsum
764285508:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.15960467090201	Private	meta_mOTU_v2_6934	764285508	tonguedorsum
764588959:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.06366317143318	Private	meta_mOTU_v2_6934	764588959	tonguedorsum
765135172:tonguedorsum:meta_mOTU_v2_6934	Oral	-0.007549223063899997	Private	meta_mOTU_v2_6934	765135172	tonguedorsum
823052294:tonguedorsum:meta_mOTU_v2_6934	Oral	0.0012787611381999964	Not Private	meta_mOTU_v2_6934	823052294	tonguedorsum
764325968:tonguedorsum:meta_mOTU_v2_7008	Oral	0.011709696714400003	Not Private	meta_mOTU_v2_7008	764325968	tonguedorsum
765013792:tonguedorsum:meta_mOTU_v2_7008	Oral	0.04882445448099999	Not Private	meta_mOTU_v2_7008	765013792	tonguedorsum
765074482:tonguedorsum:meta_mOTU_v2_7008	Oral	-0.052896631146599996	Private	meta_mOTU_v2_7008	765074482	tonguedorsum
158479027:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.063865281642824	Private	meta_mOTU_v2_7120	158479027	tonguedorsum
159551223:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.057420001433199995	Private	meta_mOTU_v2_7120	159551223	tonguedorsum
160178356:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.0401226330887	Private	meta_mOTU_v2_7120	160178356	tonguedorsum
246515023:tonguedorsum:meta_mOTU_v2_7120	Oral	0.08509311855400001	Not Private	meta_mOTU_v2_7120	246515023	tonguedorsum
508703490:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.115486951911517	Private	meta_mOTU_v2_7120	508703490	tonguedorsum
550534656:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.033959240257099996	Private	meta_mOTU_v2_7120	550534656	tonguedorsum
638754422:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.015314202145399997	Private	meta_mOTU_v2_7120	638754422	tonguedorsum
675950834:tonguedorsum:meta_mOTU_v2_7120	Oral	0.021052517501199998	Not Private	meta_mOTU_v2_7120	675950834	tonguedorsum
763536994:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.07557424427145	Private	meta_mOTU_v2_7120	763536994	tonguedorsum
763577454:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.0377668879461	Private	meta_mOTU_v2_7120	763577454	tonguedorsum
763982056:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.10602017916992999	Private	meta_mOTU_v2_7120	763982056	tonguedorsum
765701615:tonguedorsum:meta_mOTU_v2_7120	Oral	0.041465047754400006	Not Private	meta_mOTU_v2_7120	765701615	tonguedorsum
861967750:tonguedorsum:meta_mOTU_v2_7120	Oral	-0.040118838505099993	Private	meta_mOTU_v2_7120	861967750	tonguedorsum
160502038:tonguedorsum:meta_mOTU_v2_7594	Oral	0.08330730894400001	Not Private	meta_mOTU_v2_7594	160502038	tonguedorsum
763435843:tonguedorsum:meta_mOTU_v2_7594	Oral	-0.13021152997649	Private	meta_mOTU_v2_7594	763435843	tonguedorsum
764224817:tonguedorsum:meta_mOTU_v2_7594	Oral	-0.09815442388876	Private	meta_mOTU_v2_7594	764224817	tonguedorsum
159551223:tonguedorsum:meta_mOTU_v2_7689	Oral	-0.0757305013812	Private	meta_mOTU_v2_7689	159551223	tonguedorsum
508703490:tonguedorsum:meta_mOTU_v2_7689	Oral	-0.041415150210100005	Private	meta_mOTU_v2_7689	508703490	tonguedorsum
638754422:tonguedorsum:meta_mOTU_v2_7689	Oral	0.0030424310776999974	Not Private	meta_mOTU_v2_7689	638754422	tonguedorsum
763536994:tonguedorsum:meta_mOTU_v2_7689	Oral	-0.033749722617999994	Private	meta_mOTU_v2_7689	763536994	tonguedorsum
765074482:tonguedorsum:meta_mOTU_v2_7689	Oral	0.0025042913962999985	Not Private	meta_mOTU_v2_7689	765074482	tonguedorsum
158883629:tonguedorsum:meta_mOTU_v2_7712	Oral	-0.0714140734614	Private	meta_mOTU_v2_7712	158883629	tonguedorsum
159551223:tonguedorsum:meta_mOTU_v2_7712	Oral	-0.0536202381847	Private	meta_mOTU_v2_7712	159551223	tonguedorsum
638754422:tonguedorsum:meta_mOTU_v2_7712	Oral	-0.03016787939050001	Private	meta_mOTU_v2_7712	638754422	tonguedorsum
675950834:tonguedorsum:meta_mOTU_v2_7712	Oral	0.01744774496849999	Not Private	meta_mOTU_v2_7712	675950834	tonguedorsum
764811490:tonguedorsum:meta_mOTU_v2_7712	Oral	-0.0224002061623	Private	meta_mOTU_v2_7712	764811490	tonguedorsum
765013792:tonguedorsum:meta_mOTU_v2_7712	Oral	0.044909739498400006	Not Private	meta_mOTU_v2_7712	765013792	tonguedorsum
765074482:tonguedorsum:meta_mOTU_v2_7712	Oral	0.019031860332099998	Not Private	meta_mOTU_v2_7712	765074482	tonguedorsum
158883629:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.08494931846789999	Private	meta_mOTU_v2_7750	158883629	tonguedorsum
550534656:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.0607918277802	Private	meta_mOTU_v2_7750	550534656	tonguedorsum
675950834:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.0522181606778	Private	meta_mOTU_v2_7750	675950834	tonguedorsum
737052003:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.0775146969433	Private	meta_mOTU_v2_7750	737052003	tonguedorsum
763536994:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.016835082792699997	Private	meta_mOTU_v2_7750	763536994	tonguedorsum
763577454:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.0953786915472	Private	meta_mOTU_v2_7750	763577454	tonguedorsum
763901136:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.07237660107560001	Private	meta_mOTU_v2_7750	763901136	tonguedorsum
764083206:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.11844159196699999	Private	meta_mOTU_v2_7750	764083206	tonguedorsum
764325968:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.0022223659543499997	Private	meta_mOTU_v2_7750	764325968	tonguedorsum
764487809:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.003139869372434	Private	meta_mOTU_v2_7750	764487809	tonguedorsum
764811490:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.0496637366519	Private	meta_mOTU_v2_7750	764811490	tonguedorsum
765013792:tonguedorsum:meta_mOTU_v2_7750	Oral	0.0836036844068	Not Private	meta_mOTU_v2_7750	765013792	tonguedorsum
765074482:tonguedorsum:meta_mOTU_v2_7750	Oral	0.017949199043000005	Not Private	meta_mOTU_v2_7750	765074482	tonguedorsum
765094712:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.117036291603072	Private	meta_mOTU_v2_7750	765094712	tonguedorsum
857980665:tonguedorsum:meta_mOTU_v2_7750	Oral	-0.0570824051098	Private	meta_mOTU_v2_7750	857980665	tonguedorsum
158479027:supragingivalplaque:ref_mOTU_v2_0131	Oral	-0.041266970982399995	Private	ref_mOTU_v2_0131	158479027	supragingivalplaque
