Comp.m	Super.Site.m	Value.m	Privacy.m	Species.mOTUs.m	Indiv.m	Part.m	Ref	Comp.f	Super.Site.f	Value.f	Privacy.f	Species	Indiv.f	Part.f	Species.mOTUs.f	Sign
159753524:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.004777203301199989	Private	ref_mOTU_v2_0199	159753524	tonguedorsum	159753524:tonguedorsum:ref_mOTU_v2_0199	159753524:tonguedorsum:1304	Oral	-0.007625802254699998	Private	1304	159753524	tonguedorsum	ref_mOTU_v2_0199	Remained
160178356:tonguedorsum:ref_mOTU_v2_0199	Oral	0.030648725443000013	Not Private	ref_mOTU_v2_0199	160178356	tonguedorsum	160178356:tonguedorsum:ref_mOTU_v2_0199	160178356:tonguedorsum:1304	Oral	0.012269110291000002	Not Private	1304	160178356	tonguedorsum	ref_mOTU_v2_0199	Remained
160319967:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.002417900590000008	Private	ref_mOTU_v2_0199	160319967	tonguedorsum	160319967:tonguedorsum:ref_mOTU_v2_0199	160319967:tonguedorsum:1304	Oral	0.008419993698999997	Not Private	1304	160319967	tonguedorsum	ref_mOTU_v2_0199	Changed
160421117:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.0958660859799	Private	ref_mOTU_v2_0199	160421117	tonguedorsum	160421117:tonguedorsum:ref_mOTU_v2_0199	160421117:tonguedorsum:1304	Oral	-0.0747814087416	Private	1304	160421117	tonguedorsum	ref_mOTU_v2_0199	Remained
160582958:tonguedorsum:ref_mOTU_v2_0199	Oral	0.05174066108810001	Not Private	ref_mOTU_v2_0199	160582958	tonguedorsum	160582958:tonguedorsum:ref_mOTU_v2_0199	160582958:tonguedorsum:1304	Oral	0.034953410701600005	Not Private	1304	160582958	tonguedorsum	ref_mOTU_v2_0199	Remained
160603188:tonguedorsum:ref_mOTU_v2_0199	Oral	0.049045996297	Not Private	ref_mOTU_v2_0199	160603188	tonguedorsum	160603188:tonguedorsum:ref_mOTU_v2_0199	160603188:tonguedorsum:1304	Oral	0.05193312677600001	Not Private	1304	160603188	tonguedorsum	ref_mOTU_v2_0199	Remained
246515023:tonguedorsum:ref_mOTU_v2_0199	Oral	0.008322445876000006	Not Private	ref_mOTU_v2_0199	246515023	tonguedorsum	246515023:tonguedorsum:ref_mOTU_v2_0199	246515023:tonguedorsum:1304	Oral	4.2150949430000417e-4	Not Private	1304	246515023	tonguedorsum	ref_mOTU_v2_0199	Remained
508703490:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.024111983434300002	Private	ref_mOTU_v2_0199	508703490	tonguedorsum	508703490:tonguedorsum:ref_mOTU_v2_0199	508703490:tonguedorsum:1304	Oral	-0.029183183021499998	Private	1304	508703490	tonguedorsum	ref_mOTU_v2_0199	Remained
604812005:tonguedorsum:ref_mOTU_v2_0199	Oral	0.0180330492728	Not Private	ref_mOTU_v2_0199	604812005	tonguedorsum	604812005:tonguedorsum:ref_mOTU_v2_0199	604812005:tonguedorsum:1304	Oral	0.014931039424399994	Not Private	1304	604812005	tonguedorsum	ref_mOTU_v2_0199	Remained
638754422:tonguedorsum:ref_mOTU_v2_0199	Oral	0.0636463830761	Not Private	ref_mOTU_v2_0199	638754422	tonguedorsum	638754422:tonguedorsum:ref_mOTU_v2_0199	638754422:tonguedorsum:1304	Oral	0.10790445851310002	Not Private	1304	638754422	tonguedorsum	ref_mOTU_v2_0199	Remained
663835652:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.0444745336544	Private	ref_mOTU_v2_0199	663835652	tonguedorsum	663835652:tonguedorsum:ref_mOTU_v2_0199	663835652:tonguedorsum:1304	Oral	-0.040036610479099996	Private	1304	663835652	tonguedorsum	ref_mOTU_v2_0199	Remained
737052003:tonguedorsum:ref_mOTU_v2_0199	Oral	0.08578741604850001	Not Private	ref_mOTU_v2_0199	737052003	tonguedorsum	737052003:tonguedorsum:ref_mOTU_v2_0199	737052003:tonguedorsum:1304	Oral	0.028940018484999996	Not Private	1304	737052003	tonguedorsum	ref_mOTU_v2_0199	Remained
763577454:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.0350584525356	Private	ref_mOTU_v2_0199	763577454	tonguedorsum	763577454:tonguedorsum:ref_mOTU_v2_0199	763577454:tonguedorsum:1304	Oral	-0.046021243283	Private	1304	763577454	tonguedorsum	ref_mOTU_v2_0199	Remained
763820215:tonguedorsum:ref_mOTU_v2_0199	Oral	0.057740290807700004	Not Private	ref_mOTU_v2_0199	763820215	tonguedorsum	763820215:tonguedorsum:ref_mOTU_v2_0199	763820215:tonguedorsum:1304	Oral	0.0869397299492	Not Private	1304	763820215	tonguedorsum	ref_mOTU_v2_0199	Remained
763901136:tonguedorsum:ref_mOTU_v2_0199	Oral	0.004443741976800003	Not Private	ref_mOTU_v2_0199	763901136	tonguedorsum	763901136:tonguedorsum:ref_mOTU_v2_0199	763901136:tonguedorsum:1304	Oral	0.004054628525099996	Not Private	1304	763901136	tonguedorsum	ref_mOTU_v2_0199	Remained
763982056:tonguedorsum:ref_mOTU_v2_0199	Oral	0.06681983967850001	Not Private	ref_mOTU_v2_0199	763982056	tonguedorsum	763982056:tonguedorsum:ref_mOTU_v2_0199	763982056:tonguedorsum:1304	Oral	0.0771231830711	Not Private	1304	763982056	tonguedorsum	ref_mOTU_v2_0199	Remained
764042746:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.033746347149999995	Private	ref_mOTU_v2_0199	764042746	tonguedorsum	764042746:tonguedorsum:ref_mOTU_v2_0199	764042746:tonguedorsum:1304	Oral	-0.029318579652499996	Private	1304	764042746	tonguedorsum	ref_mOTU_v2_0199	Remained
764285508:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.040999220043399995	Private	ref_mOTU_v2_0199	764285508	tonguedorsum	764285508:tonguedorsum:ref_mOTU_v2_0199	764285508:tonguedorsum:1304	Oral	-0.0521322482528	Private	1304	764285508	tonguedorsum	ref_mOTU_v2_0199	Remained
764325968:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.011044741591200002	Private	ref_mOTU_v2_0199	764325968	tonguedorsum	764325968:tonguedorsum:ref_mOTU_v2_0199	764325968:tonguedorsum:1304	Oral	-0.019118841372800004	Private	1304	764325968	tonguedorsum	ref_mOTU_v2_0199	Remained
764508039:tonguedorsum:ref_mOTU_v2_0199	Oral	0.0396286198764	Not Private	ref_mOTU_v2_0199	764508039	tonguedorsum	764508039:tonguedorsum:ref_mOTU_v2_0199	764508039:tonguedorsum:1304	Oral	0.0258739348354	Not Private	1304	764508039	tonguedorsum	ref_mOTU_v2_0199	Remained
764588959:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.028651498016800003	Private	ref_mOTU_v2_0199	764588959	tonguedorsum	764588959:tonguedorsum:ref_mOTU_v2_0199	764588959:tonguedorsum:1304	Oral	-0.019097959930800004	Private	1304	764588959	tonguedorsum	ref_mOTU_v2_0199	Remained
764811490:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.021836532582799995	Private	ref_mOTU_v2_0199	764811490	tonguedorsum	764811490:tonguedorsum:ref_mOTU_v2_0199	764811490:tonguedorsum:1304	Oral	-0.035709255367399995	Private	1304	764811490	tonguedorsum	ref_mOTU_v2_0199	Remained
765013792:tonguedorsum:ref_mOTU_v2_0199	Oral	0.0652856295867	Not Private	ref_mOTU_v2_0199	765013792	tonguedorsum	765013792:tonguedorsum:ref_mOTU_v2_0199	765013792:tonguedorsum:1304	Oral	-0.03140110107789999	Private	1304	765013792	tonguedorsum	ref_mOTU_v2_0199	Changed
765074482:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.012077192422800004	Private	ref_mOTU_v2_0199	765074482	tonguedorsum	765074482:tonguedorsum:ref_mOTU_v2_0199	765074482:tonguedorsum:1304	Oral	-0.011003921484400006	Private	1304	765074482	tonguedorsum	ref_mOTU_v2_0199	Remained
765094712:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.06722055360319999	Private	ref_mOTU_v2_0199	765094712	tonguedorsum	765094712:tonguedorsum:ref_mOTU_v2_0199	765094712:tonguedorsum:1304	Oral	-0.08495333063169999	Private	1304	765094712	tonguedorsum	ref_mOTU_v2_0199	Remained
823052294:tonguedorsum:ref_mOTU_v2_0199	Oral	0.01040024097440001	Not Private	ref_mOTU_v2_0199	823052294	tonguedorsum	823052294:tonguedorsum:ref_mOTU_v2_0199	823052294:tonguedorsum:1304	Oral	0.00990152963190001	Not Private	1304	823052294	tonguedorsum	ref_mOTU_v2_0199	Remained
857980665:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.005628284744300001	Private	ref_mOTU_v2_0199	857980665	tonguedorsum	857980665:tonguedorsum:ref_mOTU_v2_0199	857980665:tonguedorsum:1304	Oral	-9.217032197999936e-4	Private	1304	857980665	tonguedorsum	ref_mOTU_v2_0199	Remained
861967750:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.015713445180799993	Private	ref_mOTU_v2_0199	861967750	tonguedorsum	861967750:tonguedorsum:ref_mOTU_v2_0199	861967750:tonguedorsum:1304	Oral	-0.015177421204300004	Private	1304	861967750	tonguedorsum	ref_mOTU_v2_0199	Remained
158883629:tonguedorsum:ref_mOTU_v2_0377	Oral	-6.779166085999974e-4	Private	ref_mOTU_v2_0377	158883629	tonguedorsum	158883629:tonguedorsum:ref_mOTU_v2_0377	158883629:tonguedorsum:1321775	Oral	-0.025595385682300003	Private	1321775	158883629	tonguedorsum	ref_mOTU_v2_0377	Remained
160178356:tonguedorsum:ref_mOTU_v2_0377	Oral	-0.025152342698399992	Private	ref_mOTU_v2_0377	160178356	tonguedorsum	160178356:tonguedorsum:ref_mOTU_v2_0377	160178356:tonguedorsum:1321775	Oral	-0.018497705262900004	Private	1321775	160178356	tonguedorsum	ref_mOTU_v2_0377	Remained
160502038:tonguedorsum:ref_mOTU_v2_0377	Oral	0.017331780964999995	Not Private	ref_mOTU_v2_0377	160502038	tonguedorsum	160502038:tonguedorsum:ref_mOTU_v2_0377	160502038:tonguedorsum:1321775	Oral	0.020941966223200006	Not Private	1321775	160502038	tonguedorsum	ref_mOTU_v2_0377	Remained
765074482:tonguedorsum:ref_mOTU_v2_0377	Oral	-0.022227584345199995	Private	ref_mOTU_v2_0377	765074482	tonguedorsum	765074482:tonguedorsum:ref_mOTU_v2_0377	765074482:tonguedorsum:1321775	Oral	-0.022026119661700004	Private	1321775	765074482	tonguedorsum	ref_mOTU_v2_0377	Remained
764366428:subgingivalplaque:ref_mOTU_v2_0548	Oral	-0.036157877753699996	Private	ref_mOTU_v2_0548	764366428	subgingivalplaque	764366428:subgingivalplaque:ref_mOTU_v2_0548	764366428:subgingivalplaque:1125718	Oral	-0.043249740302599995	Private	1125718	764366428	subgingivalplaque	ref_mOTU_v2_0548	Remained
160178356:supragingivalplaque:ref_mOTU_v2_0548	Oral	-0.0043496406245999986	Private	ref_mOTU_v2_0548	160178356	supragingivalplaque	160178356:supragingivalplaque:ref_mOTU_v2_0548	160178356:supragingivalplaque:1125718	Oral	-0.034766513099599994	Private	1125718	160178356	supragingivalplaque	ref_mOTU_v2_0548	Remained
160319967:supragingivalplaque:ref_mOTU_v2_0548	Oral	-0.0752102562686	Private	ref_mOTU_v2_0548	160319967	supragingivalplaque	160319967:supragingivalplaque:ref_mOTU_v2_0548	160319967:supragingivalplaque:1125718	Oral	-0.0657823356754	Private	1125718	160319967	supragingivalplaque	ref_mOTU_v2_0548	Remained
160421117:supragingivalplaque:ref_mOTU_v2_0548	Oral	-0.1410501035102	Private	ref_mOTU_v2_0548	160421117	supragingivalplaque	160421117:supragingivalplaque:ref_mOTU_v2_0548	160421117:supragingivalplaque:1125718	Oral	-0.15874595875880002	Private	1125718	160421117	supragingivalplaque	ref_mOTU_v2_0548	Remained
508703490:supragingivalplaque:ref_mOTU_v2_0548	Oral	-0.0686845611853	Private	ref_mOTU_v2_0548	508703490	supragingivalplaque	508703490:supragingivalplaque:ref_mOTU_v2_0548	508703490:supragingivalplaque:1125718	Oral	-0.06383908429589999	Private	1125718	508703490	supragingivalplaque	ref_mOTU_v2_0548	Remained
638754422:supragingivalplaque:ref_mOTU_v2_0548	Oral	-0.08375397966600001	Private	ref_mOTU_v2_0548	638754422	supragingivalplaque	638754422:supragingivalplaque:ref_mOTU_v2_0548	638754422:supragingivalplaque:1125718	Oral	-0.09216563937209998	Private	1125718	638754422	supragingivalplaque	ref_mOTU_v2_0548	Remained
764366428:supragingivalplaque:ref_mOTU_v2_0548	Oral	-0.029080247713599995	Private	ref_mOTU_v2_0548	764366428	supragingivalplaque	764366428:supragingivalplaque:ref_mOTU_v2_0548	764366428:supragingivalplaque:1125718	Oral	-0.052131314063699995	Private	1125718	764366428	supragingivalplaque	ref_mOTU_v2_0548	Remained
765013792:supragingivalplaque:ref_mOTU_v2_0548	Oral	-0.06553798341399	Private	ref_mOTU_v2_0548	765013792	supragingivalplaque	765013792:supragingivalplaque:ref_mOTU_v2_0548	765013792:supragingivalplaque:1125718	Oral	-0.11667744844188	Private	1125718	765013792	supragingivalplaque	ref_mOTU_v2_0548	Remained
158479027:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.03138677038566	Private	ref_mOTU_v2_0550	158479027	tonguedorsum	158479027:tonguedorsum:ref_mOTU_v2_0550	158479027:tonguedorsum:997829	Oral	-0.0383639062264	Private	997829	158479027	tonguedorsum	ref_mOTU_v2_0550	Remained
158499257:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.051882298480400005	Private	ref_mOTU_v2_0550	158499257	tonguedorsum	158499257:tonguedorsum:ref_mOTU_v2_0550	158499257:tonguedorsum:997829	Oral	-0.05543151540039999	Private	997829	158499257	tonguedorsum	ref_mOTU_v2_0550	Remained
158944319:tonguedorsum:ref_mOTU_v2_0550	Oral	0.010593010061600003	Not Private	ref_mOTU_v2_0550	158944319	tonguedorsum	158944319:tonguedorsum:ref_mOTU_v2_0550	158944319:tonguedorsum:997829	Oral	0.007425130943900002	Not Private	997829	158944319	tonguedorsum	ref_mOTU_v2_0550	Remained
159268001:tonguedorsum:ref_mOTU_v2_0550	Oral	0.013426539392999995	Not Private	ref_mOTU_v2_0550	159268001	tonguedorsum	159268001:tonguedorsum:ref_mOTU_v2_0550	159268001:tonguedorsum:997829	Oral	-1.1938211510000019e-4	Private	997829	159268001	tonguedorsum	ref_mOTU_v2_0550	Changed
159369152:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.0672738854997	Private	ref_mOTU_v2_0550	159369152	tonguedorsum	159369152:tonguedorsum:ref_mOTU_v2_0550	159369152:tonguedorsum:997829	Oral	-0.06451307863	Private	997829	159369152	tonguedorsum	ref_mOTU_v2_0550	Remained
159814214:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.022672622152999998	Private	ref_mOTU_v2_0550	159814214	tonguedorsum	159814214:tonguedorsum:ref_mOTU_v2_0550	159814214:tonguedorsum:997829	Oral	-0.0315164787922	Private	997829	159814214	tonguedorsum	ref_mOTU_v2_0550	Remained
160158126:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.0855175445897	Private	ref_mOTU_v2_0550	160158126	tonguedorsum	160158126:tonguedorsum:ref_mOTU_v2_0550	160158126:tonguedorsum:997829	Oral	-0.0900263463856	Private	997829	160158126	tonguedorsum	ref_mOTU_v2_0550	Remained
160178356:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.043750160865600005	Private	ref_mOTU_v2_0550	160178356	tonguedorsum	160178356:tonguedorsum:ref_mOTU_v2_0550	160178356:tonguedorsum:997829	Oral	-0.0431271230634	Private	997829	160178356	tonguedorsum	ref_mOTU_v2_0550	Remained
160319967:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.025323455075	Private	ref_mOTU_v2_0550	160319967	tonguedorsum	160319967:tonguedorsum:ref_mOTU_v2_0550	160319967:tonguedorsum:997829	Oral	-0.019176632866300003	Private	997829	160319967	tonguedorsum	ref_mOTU_v2_0550	Remained
160380657:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.0454243898901	Private	ref_mOTU_v2_0550	160380657	tonguedorsum	160380657:tonguedorsum:ref_mOTU_v2_0550	160380657:tonguedorsum:997829	Oral	-0.054786511268899996	Private	997829	160380657	tonguedorsum	ref_mOTU_v2_0550	Remained
160421117:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.0689770269777	Private	ref_mOTU_v2_0550	160421117	tonguedorsum	160421117:tonguedorsum:ref_mOTU_v2_0550	160421117:tonguedorsum:997829	Oral	-0.0693637623888	Private	997829	160421117	tonguedorsum	ref_mOTU_v2_0550	Remained
160502038:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.02291834822080001	Private	ref_mOTU_v2_0550	160502038	tonguedorsum	160502038:tonguedorsum:ref_mOTU_v2_0550	160502038:tonguedorsum:997829	Oral	-0.01075189114519999	Private	997829	160502038	tonguedorsum	ref_mOTU_v2_0550	Remained
160603188:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.02943429649220001	Private	ref_mOTU_v2_0550	160603188	tonguedorsum	160603188:tonguedorsum:ref_mOTU_v2_0550	160603188:tonguedorsum:997829	Oral	-0.022129140660400004	Private	997829	160603188	tonguedorsum	ref_mOTU_v2_0550	Remained
338793263:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.032904205415600005	Private	ref_mOTU_v2_0550	338793263	tonguedorsum	338793263:tonguedorsum:ref_mOTU_v2_0550	338793263:tonguedorsum:997829	Oral	-0.031809264883300006	Private	997829	338793263	tonguedorsum	ref_mOTU_v2_0550	Remained
370425937:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.047788742845700005	Private	ref_mOTU_v2_0550	370425937	tonguedorsum	370425937:tonguedorsum:ref_mOTU_v2_0550	370425937:tonguedorsum:997829	Oral	-0.056464743760200005	Private	997829	370425937	tonguedorsum	ref_mOTU_v2_0550	Remained
675950834:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.037993156726	Private	ref_mOTU_v2_0550	675950834	tonguedorsum	675950834:tonguedorsum:ref_mOTU_v2_0550	675950834:tonguedorsum:997829	Oral	-0.038655953979499995	Private	997829	675950834	tonguedorsum	ref_mOTU_v2_0550	Remained
763435843:tonguedorsum:ref_mOTU_v2_0550	Oral	0.018711017127800003	Not Private	ref_mOTU_v2_0550	763435843	tonguedorsum	763435843:tonguedorsum:ref_mOTU_v2_0550	763435843:tonguedorsum:997829	Oral	0.022597241433	Not Private	997829	763435843	tonguedorsum	ref_mOTU_v2_0550	Remained
763860675:tonguedorsum:ref_mOTU_v2_0550	Oral	-0.0333007320234	Private	ref_mOTU_v2_0550	763860675	tonguedorsum	763860675:tonguedorsum:ref_mOTU_v2_0550	763860675:tonguedorsum:997829	Oral	-0.038986167865799996	Private	997829	763860675	tonguedorsum	ref_mOTU_v2_0550	Remained
