Comp	Super.Site	Value	Privacy	Species	Indiv	Part
764143897:tonguedorsum:1114965	Oral	-0.0967781647381	Private	1114965	764143897	tonguedorsum
764285508:tonguedorsum:1114965	Oral	-0.028646175284299996	Private	1114965	764285508	tonguedorsum
764325968:tonguedorsum:1114965	Oral	-7.643524185999978e-4	Private	1114965	764325968	tonguedorsum
764487809:tonguedorsum:1114965	Oral	-0.06446324460559999	Private	1114965	764487809	tonguedorsum
764588959:tonguedorsum:1114965	Oral	-0.013227016096799993	Private	1114965	764588959	tonguedorsum
764811490:tonguedorsum:1114965	Oral	-0.02952290353060001	Private	1114965	764811490	tonguedorsum
765074482:tonguedorsum:1114965	Oral	-0.0436179081235	Private	1114965	765074482	tonguedorsum
765094712:tonguedorsum:1114965	Oral	-0.05294458555349999	Private	1114965	765094712	tonguedorsum
765135172:tonguedorsum:1114965	Oral	-0.010651579748699999	Private	1114965	765135172	tonguedorsum
765337473:tonguedorsum:1114965	Oral	-0.06904598704440001	Private	1114965	765337473	tonguedorsum
823052294:tonguedorsum:1114965	Oral	-0.0277942175724	Private	1114965	823052294	tonguedorsum
857980665:tonguedorsum:1114965	Oral	-0.06644054812280001	Private	1114965	857980665	tonguedorsum
159268001:supragingivalplaque:1115803	Oral	-0.06300006380670001	Private	1115803	159268001	supragingivalplaque
160178356:supragingivalplaque:1115803	Oral	-0.0444918299718	Private	1115803	160178356	supragingivalplaque
160319967:supragingivalplaque:1115803	Oral	-0.031945294601899994	Private	1115803	160319967	supragingivalplaque
160421117:supragingivalplaque:1115803	Oral	-0.050446883670600004	Private	1115803	160421117	supragingivalplaque
160582958:supragingivalplaque:1115803	Oral	-0.034615301849700006	Private	1115803	160582958	supragingivalplaque
160603188:supragingivalplaque:1115803	Oral	-0.0610304235372	Private	1115803	160603188	supragingivalplaque
604812005:supragingivalplaque:1115803	Oral	-0.0640924145537	Private	1115803	604812005	supragingivalplaque
158458797:tonguedorsum:1118058	Oral	-0.0596933615379	Private	1118058	158458797	tonguedorsum
158883629:tonguedorsum:1118058	Oral	-0.05124523366049999	Private	1118058	158883629	tonguedorsum
663835652:tonguedorsum:1118058	Oral	-0.027988124628700012	Private	1118058	663835652	tonguedorsum
764285508:tonguedorsum:1118058	Oral	0.01614948277599998	Not Private	1118058	764285508	tonguedorsum
823052294:tonguedorsum:1118058	Oral	-0.023086874131300006	Private	1118058	823052294	tonguedorsum
158337416:tonguedorsum:1122991	Oral	-0.03744340103498	Private	1122991	158337416	tonguedorsum
764083206:tonguedorsum:1122991	Oral	-0.14626934172217002	Private	1122991	764083206	tonguedorsum
764224817:tonguedorsum:1122991	Oral	-0.14535452823968	Private	1122991	764224817	tonguedorsum
765701615:tonguedorsum:1122991	Oral	-0.1320582029409	Private	1122991	765701615	tonguedorsum
764366428:subgingivalplaque:1125718	Oral	-0.043249740302599995	Private	1125718	764366428	subgingivalplaque
160178356:supragingivalplaque:1125718	Oral	-0.034766513099599994	Private	1125718	160178356	supragingivalplaque
160319967:supragingivalplaque:1125718	Oral	-0.0657823356754	Private	1125718	160319967	supragingivalplaque
160421117:supragingivalplaque:1125718	Oral	-0.15874595875880002	Private	1125718	160421117	supragingivalplaque
160502038:supragingivalplaque:1125718	Oral	-0.04483871290779999	Private	1125718	160502038	supragingivalplaque
508703490:supragingivalplaque:1125718	Oral	-0.06383908429589999	Private	1125718	508703490	supragingivalplaque
638754422:supragingivalplaque:1125718	Oral	-0.09216563937209998	Private	1125718	638754422	supragingivalplaque
764305738:supragingivalplaque:1125718	Oral	-0.052414272596799996	Private	1125718	764305738	supragingivalplaque
