SampleID	Site
CCMD26709089ST-21-0	ST
CCMD26925580ST-21-0	ST
CCMD34381688ST-21-0	ST
CCMD35802077ST-21-0	ST
CCMD40701343ST-21-0	ST
CCMD42428553ST-21-0	ST
CCMD45988061ST-21-0	ST
CCMD46222674ST-21-0	ST
CCMD46947453ST-21-0	ST
CCMD48236717ST-21-0	ST
CCMD50071957ST-21-0	ST
CCMD51864103ST-21-0	ST
CCMD60079086ST-21-0	ST
CCMD63399960ST-21-0	ST
CCMD64503764ST-21-0	ST
CCMD64776337ST-21-0	ST
CCMD72895164ST-21-0	ST
CCMD74930188ST-21-0	ST
CCMD79987997ST-21-0	ST
CCMD82866709ST-21-0	ST
CCMD86114146ST-21-0	ST
CCMD86707194ST-21-0	ST
CCMD87156761ST-21-0	ST
CCMD88272491ST-21-0	ST
CCMD90311071ST-21-0	ST
CCMD93344354ST-21-0	ST
CCMD95433940ST-21-0	ST
CCMD96553385ST-21-0	ST
BGI-06A	ST
BGI-15A	ST
BGI-17A	ST
BGI-27A	ST
BGI-28A	ST
BGI-33A	ST
BGI-34A	ST
BGI001A	ST
BGI002A	ST
BGI003A	ST
BGI089A	ST
DLF001	ST
DLF002	ST
DLF003	ST
DLF004	ST
DLF005	ST
DLF006	ST
DLF007	ST
DLF008	ST
DLF009	ST
DLF010	ST
DLF012	ST
DLF013	ST
DLF014	ST
DLM001	ST
DLM002	ST
DLM003	ST
DLM004	ST
DLM005	ST
DLM006	ST
DLM007	ST
DLM008	ST
DLM009	ST
DLM010	ST
DLM011	ST
DLM012	ST
DLM013	ST
DLM014	ST
DLM015	ST
DLM016	ST
DLM017	ST
DLM018	ST
DLM019	ST
DLM020	ST
DLM021	ST
DLM022	ST
DLM023	ST
DLM024	ST
DLM027	ST
DLM028	ST
DOF002	ST
DOF003	ST
DOF004	ST
DOF006	ST
DOF007	ST
DOF008	ST
DOF009	ST
DOF010	ST
DOF011	ST
DOF012	ST
DOF013	ST
DOF014	ST
DOM001	ST
DOM003	ST
DOM005	ST
DOM008	ST
DOM010	ST
DOM012	ST
DOM013	ST
DOM014	ST
DOM015	ST
DOM016	ST
DOM017	ST
DOM018	ST
DOM019	ST
DOM020	ST
DOM021	ST
DOM022	ST
DOM023	ST
DOM024	ST
DOM025	ST
DOM026	ST
ED10A	ST
ED11A	ST
ED12A	ST
ED13A	ST
ED14A	ST
ED15A	ST
ED16A	ST
ED19A	ST
ED20A	ST
ED50A	ST
ED9A	ST
HT14A	ST
HT25A	ST
HT8A	ST
N001A	ST
N002A	ST
N003A	ST
N005A	ST
N006A	ST
N009A	ST
N011A	ST
N013A	ST
N017A	ST
N020A	ST
N021A	ST
N022A	ST
N024A	ST
N025A	ST
N026A	ST
N027A	ST
N028A	ST
N029A	ST
N031A	ST
N032A	ST
N033A	ST
N034A	ST
N035A	ST
N037A	ST
N038A	ST
N039A	ST
N040A	ST
N042A	ST
N043A	ST
N044A	ST
N046A	ST
N047A	ST
N049A	ST
N051A	ST
N052A	ST
N056A	ST
N062A	ST
N064A	ST
N066A	ST
N074A	ST
N075A	ST
N079A	ST
N082A	ST
N083A	ST
N084A	ST
N085A	ST
N086A	ST
N087A	ST
N088A	ST
N089A	ST
N103A	ST
N104A	ST
NLF001	ST
NLF002	ST
NLF005	ST
NLF006	ST
NLF007	ST
NLF008	ST
NLF009	ST
NLF010	ST
NLF011	ST
NLF012	ST
NLF013	ST
NLF014	ST
NLF015	ST
NLM001	ST
NLM002	ST
NLM003	ST
NLM004	ST
NLM005	ST
NLM006	ST
NLM007	ST
NLM008	ST
NLM009	ST
NLM010	ST
NLM015	ST
NLM016	ST
NLM017	ST
NLM021	ST
NLM022	ST
NLM023	ST
NLM024	ST
NLM025	ST
NLM026	ST
NLM027	ST
NLM028	ST
NLM029	ST
NLM031	ST
NLM032	ST
NOF001	ST
NOF002	ST
NOF004	ST
NOF005	ST
NOF006	ST
NOF007	ST
NOF008	ST
NOF009	ST
NOF010	ST
NOF011	ST
NOF012	ST
NOF013	ST
NOF014	ST
NOM001	ST
NOM002	ST
NOM004	ST
NOM005	ST
NOM007	ST
NOM008	ST
NOM009	ST
NOM010	ST
NOM012	ST
NOM013	ST
NOM014	ST
NOM015	ST
NOM016	ST
NOM017	ST
NOM018	ST
NOM019	ST
NOM020	ST
NOM022	ST
NOM023	ST
NOM025	ST
NOM026	ST
NOM027	ST
NOM028	ST
NOM029	ST
SZEY-06A	ST
SZEY-07A	ST
SZEY-08A	ST
SZEY-09A	ST
SZEY-101A	ST
SZEY-103A	ST
SZEY-104A	ST
SZEY-106A	ST
SZEY-10A	ST
SZEY-20A	ST
SZEY-22A	ST
SZEY-24A	ST
SZEY-26A	ST
SZEY-27A	ST
SZEY-29A	ST
SZEY-30A	ST
SZEY-35A	ST
SZEY-37A	ST
SZEY-38A	ST
SZEY-39A	ST
SZEY-40A	ST
SZEY-41A	ST
SZEY-43A	ST
SZEY-44A	ST
SZEY-48A	ST
SZEY-55A	ST
SZEY-58A	ST
SZEY-59A	ST
SZEY-60A	ST
SZEY-62A	ST
SZEY-63A	ST
SZEY-64A	ST
SZEY-66A	ST
SZEY-68A	ST
SZEY-69A	ST
SZEY-73A	ST
SZEY-74A	ST
SZEY-75A	ST
SZEY-78A	ST
SZEY-79A	ST
SZEY-81A	ST
SZEY-90A	ST
SZEY-93A	ST
SZEY-95A	ST
SZEY-97A	ST
SZEY-99A	ST
T2D-102A	ST
T2D-103A	ST
T2D-105A	ST
T2D-106A	ST
T2D-107A	ST
T2D-108A	ST
T2D-109A	ST
T2D-10A	ST
T2D-110A	ST
T2D-112A	ST
T2D-113A	ST
T2D-114A	ST
T2D-118A	ST
T2D-11A	ST
T2D-120A	ST
T2D-121A	ST
T2D-122A	ST
T2D-123A	ST
T2D-126A	ST
T2D-127A	ST
T2D-12A	ST
T2D-132A	ST
T2D-133A	ST
T2D-134A	ST
T2D-135A	ST
T2D-139A	ST
T2D-13A	ST
T2D-140A	ST
T2D-142A	ST
T2D-143A	ST
T2D-144A	ST
T2D-146A	ST
T2D-148A	ST
T2D-149A	ST
T2D-14A	ST
T2D-150A	ST
T2D-154A	ST
T2D-155A	ST
T2D-156A	ST
T2D-157A	ST
T2D-15A	ST
T2D-163A	ST
T2D-173A	ST
T2D-175A	ST
T2D-176A	ST
T2D-177A	ST
T2D-178A	ST
T2D-17A	ST
T2D-187A	ST
T2D-189A	ST
T2D-192A	ST
T2D-195A	ST
T2D-198A	ST
T2D-19A	ST
T2D-203A	ST
T2D-206A	ST
T2D-207A	ST
T2D-20A	ST
T2D-22A	ST
T2D-25A	ST
T2D-26A	ST
T2D-29A	ST
T2D-2A	ST
T2D-31A	ST
T2D-33A	ST
T2D-34A	ST
T2D-35A	ST
T2D-41A	ST
T2D-42A	ST
T2D-45A	ST
T2D-46A	ST
T2D-47A	ST
T2D-48A	ST
T2D-49A	ST
T2D-51A	ST
T2D-52A	ST
T2D-53A	ST
T2D-54A	ST
T2D-56A	ST
T2D-57A	ST
T2D-59A	ST
T2D-61A	ST
T2D-62A	ST
T2D-63A	ST
T2D-65A	ST
T2D-66A	ST
T2D-68A	ST
T2D-6A	ST
T2D-70A	ST
T2D-73A	ST
T2D-76A	ST
T2D-77A	ST
T2D-78A	ST
T2D-81A	ST
T2D-83A	ST
T2D-87A	ST
T2D-8A	ST
T2D-91A	ST
T2D-97A	ST
T2D-9A	ST
MH0002	ST
MH0003	ST
MH0006	ST
MH0009	ST
MH0011	ST
MH0012	ST
MH0014	ST
MH0016	ST
MH0020	ST
MH0021	ST
MH0024	ST
MH0025	ST
MH0026	ST
MH0028	ST
MH0030	ST
MH0031	ST
MH0032	ST
MH0033	ST
MH0034	ST
MH0035	ST
MH0036	ST
MH0037	ST
MH0038	ST
MH0039	ST
MH0040	ST
MH0041	ST
MH0042	ST
MH0043	ST
MH0044	ST
MH0045	ST
MH0046	ST
MH0047	ST
MH0048	ST
MH0049	ST
MH0050	ST
MH0051	ST
MH0052	ST
MH0053	ST
MH0054	ST
MH0055	ST
MH0056	ST
MH0057	ST
MH0058	ST
MH0059	ST
MH0060	ST
MH0061	ST
MH0062	ST
MH0063	ST
MH0064	ST
MH0065	ST
MH0066	ST
MH0067	ST
MH0068	ST
MH0069	ST
MH0070	ST
MH0071	ST
MH0072	ST
MH0073	ST
MH0074	ST
MH0075	ST
MH0076	ST
MH0077	ST
MH0078	ST
MH0079	ST
MH0080	ST
MH0081	ST
MH0082	ST
MH0083	ST
MH0084	ST
MH0085	ST
MH0086	ST
MH0087	ST
MH0088	ST
MH0089	ST
MH0090	ST
MH0091	ST
MH0092	ST
MH0093	ST
MH0094	ST
MH0095	ST
MH0096	ST
MH0097	ST
MH0098	ST
MH0099	ST
MH0100	ST
MH0101	ST
MH0102	ST
MH0103	ST
MH0104	ST
MH0105	ST
MH0106	ST
MH0107	ST
MH0108	ST
MH0109	ST
MH0110	ST
MH0111	ST
MH0113	ST
MH0114	ST
MH0115	ST
MH0116	ST
MH0117	ST
MH0118	ST
MH0119	ST
MH0120	ST
MH0121	ST
MH0122	ST
MH0123	ST
MH0124	ST
MH0125	ST
MH0126	ST
MH0127	ST
MH0128	ST
MH0129	ST
MH0130	ST
MH0131	ST
MH0132	ST
MH0133	ST
MH0134	ST
MH0135	ST
MH0136	ST
MH0137	ST
MH0138	ST
MH0139	ST
MH0140	ST
MH0141	ST
MH0142	ST
MH0143	ST
MH0144	ST
MH0145	ST
MH0146	ST
MH0147	ST
MH0148	ST
MH0149	ST
MH0150	ST
MH0151	ST
MH0152	ST
MH0153	ST
MH0154	ST
MH0155	ST
MH0156	ST
MH0157	ST
MH0158	ST
MH0159	ST
MH0160	ST
MH0161	ST
MH0162	ST
MH0163	ST
MH0164	ST
MH0165	ST
MH0166	ST
MH0167	ST
MH0168	ST
MH0169	ST
MH0170	ST
MH0172	ST
MH0173	ST
MH0174	ST
MH0175	ST
MH0176	ST
MH0177	ST
MH0178	ST
MH0179	ST
MH0180	ST
MH0181	ST
MH0182	ST
MH0183	ST
MH0184	ST
MH0185	ST
MH0186	ST
MH0187	ST
MH0188	ST
MH0189	ST
MH0191	ST
MH0192	ST
MH0193	ST
MH0195	ST
MH0196	ST
MH0197	ST
MH0198	ST
MH0199	ST
MH0200	ST
MH0203	ST
MH0204	ST
MH0205	ST
MH0206	ST
MH0211	ST
MH0212	ST
MH0217	ST
MH0220	ST
MH0221	ST
MH0222	ST
MH0224	ST
MH0227	ST
MH0229	ST
MH0230	ST
MH0233	ST
MH0234	ST
MH0236	ST
MH0238	ST
MH0239	ST
MH0243	ST
MH0244	ST
MH0245	ST
MH0246	ST
MH0247	ST
MH0250	ST
MH0251	ST
MH0252	ST
MH0253	ST
MH0257	ST
MH0259	ST
MH0260	ST
MH0261	ST
MH0262	ST
MH0264	ST
MH0265	ST
MH0266	ST
MH0267	ST
MH0268	ST
MH0270	ST
MH0271	ST
MH0272	ST
MH0274	ST
MH0275	ST
MH0276	ST
MH0277	ST
MH0280	ST
MH0281	ST
MH0283	ST
MH0284	ST
MH0286	ST
MH0287	ST
MH0288	ST
MH0289	ST
MH0290	ST
MH0292	ST
MH0293	ST
MH0297	ST
MH0298	ST
MH0299	ST
MH0301	ST
MH0302	ST
MH0303	ST
MH0305	ST
MH0307	ST
MH0308	ST
MH0309	ST
MH0310	ST
MH0311	ST
MH0313	ST
MH0314	ST
MH0315	ST
MH0316	ST
MH0318	ST
MH0319	ST
MH0321	ST
MH0322	ST
MH0323	ST
MH0325	ST
MH0326	ST
MH0327	ST
MH0328	ST
MH0329	ST
MH0330	ST
MH0332	ST
MH0333	ST
MH0334	ST
MH0335	ST
MH0336	ST
MH0337	ST
MH0338	ST
MH0339	ST
MH0340	ST
MH0341	ST
MH0342	ST
MH0343	ST
MH0345	ST
MH0346	ST
MH0347	ST
MH0348	ST
MH0349	ST
MH0350	ST
MH0351	ST
MH0354	ST
MH0355	ST
MH0356	ST
MH0357	ST
MH0358	ST
MH0359	ST
MH0360	ST
MH0361	ST
MH0362	ST
MH0363	ST
MH0364	ST
MH0365	ST
MH0366	ST
MH0367	ST
MH0368	ST
MH0369	ST
MH0370	ST
MH0371	ST
MH0372	ST
MH0373	ST
MH0374	ST
MH0375	ST
MH0376	ST
MH0377	ST
MH0378	ST
MH0379	ST
MH0381	ST
MH0382	ST
MH0383	ST
MH0384	ST
MH0385	ST
MH0386	ST
MH0387	ST
MH0388	ST
MH0389	ST
MH0390	ST
MH0391	ST
MH0392	ST
MH0393	ST
MH0394	ST
MH0395	ST
MH0396	ST
MH0397	ST
MH0398	ST
MH0399	ST
MH0400	ST
MH0401	ST
MH0402	ST
MH0403	ST
MH0404	ST
MH0405	ST
MH0406	ST
MH0407	ST
MH0408	ST
MH0409	ST
MH0410	ST
MH0411	ST
MH0412	ST
MH0413	ST
MH0414	ST
MH0415	ST
MH0416	ST
MH0417	ST
MH0418	ST
MH0419	ST
MH0420	ST
MH0421	ST
MH0422	ST
MH0423	ST
MH0424	ST
MH0425	ST
MH0426	ST
MH0427	ST
MH0428	ST
MH0429	ST
MH0430	ST
MH0431	ST
MH0432	ST
MH0433	ST
MH0434	ST
MH0435	ST
MH0436	ST
MH0437	ST
MH0438	ST
MH0439	ST
MH0440	ST
MH0441	ST
MH0442	ST
MH0443	ST
MH0444	ST
MH0445	ST
MH0446	ST
MH0447	ST
MH0448	ST
MH0450	ST
MH0451	ST
MH0452	ST
MH0453	ST
MH0454	ST
MH0455	ST
MH0456	ST
MH0457	ST
MH0458	ST
MH0462	ST
NG-5425_137	ST
NG-5425_249	ST
NG-5425_286	ST
NG-5425_297	ST
NG-5425_342	ST
NG-5425_470	ST
NG-5425_475	ST
NG-5425_485	ST
NG-5425_550	ST
NG-5636_112	ST
NG-5636_118	ST
NG-5636_121	ST
NG-5636_126	ST
NG-5636_127	ST
NG-5636_131	ST
NG-5636_141	ST
NG-5636_143	ST
NG-5636_144	ST
NG-5636_146	ST
NG-5636_153	ST
NG-5636_155	ST
NG-5636_158	ST
NG-5636_186	ST
NG-5636_187	ST
NG-5636_193	ST
NG-5636_194	ST
NG-5636_195	ST
NG-5636_198	ST
NG-5636_200	ST
NG-5636_205	ST
NG-5636_224	ST
NG-5636_225	ST
NG-5636_227	ST
NG-5636_229	ST
NG-5636_231	ST
NG-5636_235	ST
NG-5636_239	ST
NG-5636_243	ST
NG-5636_244	ST
NG-5636_248	ST
NG-5636_258	ST
NG-5636_263	ST
NG-5636_264	ST
NG-5636_268	ST
NG-5636_269	ST
NG-5636_278	ST
NG-5636_288	ST
NG-5636_290	ST
NG-5636_299	ST
NG-5636_304	ST
NG-5636_305	ST
NG-5636_312	ST
NG-5636_317	ST
NG-5636_327	ST
NG-5636_330	ST
NG-5636_332	ST
NG-5636_334	ST
NG-5636_344	ST
NG-5636_347	ST
NG-5636_349	ST
NG-5636_350	ST
NG-5636_353	ST
NG-5636_354	ST
NG-5636_356	ST
NG-5636_365	ST
NG-5636_367	ST
NG-5636_370	ST
NG-5636_372	ST
NG-5636_378	ST
NG-5636_380	ST
NG-5636_381	ST
NG-5636_384	ST
NG-5636_389	ST
NG-5636_393	ST
NG-5636_395	ST
NG-5636_397	ST
NG-5636_398	ST
NG-5636_420	ST
NG-5636_421	ST
NG-5636_422	ST
NG-5636_424	ST
NG-5636_432	ST
NG-5636_434	ST
NG-5636_436	ST
NG-5636_439	ST
NG-5636_441	ST
NG-5636_446	ST
NG-5636_451	ST
NG-5636_456	ST
NG-5636_457	ST
NG-5636_458	ST
NG-5636_462	ST
NG-5636_463	ST
NG-5636_468	ST
NG-5636_472	ST
NG-5636_476	ST
NG-5636_478	ST
NG-5636_479	ST
NG-5636_483	ST
NG-5636_484	ST
NG-5636_487	ST
NG-5636_488	ST
NG-5636_495	ST
NG-5636_497	ST
NG-5636_51	ST
NG-5636_517	ST
NG-5636_524	ST
NG-5636_526	ST
NG-5636_529	ST
NG-5636_53	ST
NG-5636_530	ST
NG-5636_536	ST
NG-5636_54	ST
NG-5636_543	ST
NG-5636_547	ST
NG-5636_551	ST
NG-5636_552	ST
NG-5636_558	ST
NG-5636_561	ST
NG-5636_563	ST
NG-5636_577	ST
NG-5636_58	ST
NG-5636_584	ST
NG-5636_587	ST
NG-5636_589	ST
NG-5636_59	ST
NG-5636_591	ST
NG-5636_598	ST
NG-5636_60	ST
NG-5636_600	ST
NG-5636_602	ST
NG-5636_604	ST
NG-5636_614	ST
NG-5636_617	ST
NG-5636_618	ST
NG-5636_628	ST
NG-5636_638	ST
NG-5636_640	ST
NG-5636_643	ST
NG-5636_646	ST
NG-5636_655	ST
NG-5636_77	ST
NG-5636_80	ST
NG-5636_88	ST
NG-5636_92	ST
O2.CD1-0	ST
O2.CD1-0-PT	ST
O2.CD2-0	ST
O2.CD2-0-PT	ST
O2.CD3-0-PT	ST
O2.UC1-0	ST
O2.UC1-1	ST
O2.UC1-2	ST
O2.UC11-0	ST
O2.UC11-1	ST
O2.UC11-2	ST
O2.UC12-0	ST
O2.UC12-1	ST
O2.UC12-2	ST
O2.UC13-0	ST
O2.UC13-1	ST
O2.UC13-2	ST
O2.UC14-0	ST
O2.UC14-1	ST
O2.UC14-2	ST
O2.UC15-0	ST
O2.UC15-1	ST
O2.UC15-2	ST
O2.UC16-0	ST
O2.UC16-1	ST
O2.UC16-2	ST
O2.UC17-0	ST
O2.UC17-1	ST
O2.UC17-2	ST
O2.UC18-0	ST
O2.UC18-1	ST
O2.UC18-2	ST
O2.UC19-0	ST
O2.UC19-1	ST
O2.UC19-2	ST
O2.UC2-0	ST
O2.UC2-1	ST
O2.UC2-2	ST
O2.UC20-0	ST
O2.UC20-1	ST
O2.UC20-2	ST
O2.UC21-0	ST
O2.UC21-1	ST
O2.UC21-2	ST
O2.UC22-0	ST
O2.UC22-1	ST
O2.UC22-2	ST
O2.UC23-0	ST
O2.UC23-1	ST
O2.UC23-2	ST
O2.UC24-0	ST
O2.UC24-1	ST
O2.UC24-2	ST
O2.UC26-0	ST
O2.UC26-1	ST
O2.UC26-2	ST
O2.UC27-0	ST
O2.UC27-1	ST
O2.UC27-2	ST
O2.UC28-0	ST
O2.UC28-1	ST
O2.UC28-2	ST
O2.UC29-0	ST
O2.UC29-1	ST
O2.UC29-2	ST
O2.UC3-0	ST
O2.UC3-1	ST
O2.UC3-2	ST
O2.UC30-0	ST
O2.UC30-1	ST
O2.UC30-2	ST
O2.UC31-0	ST
O2.UC31-1	ST
O2.UC31-2	ST
O2.UC32-0	ST
O2.UC32-1	ST
O2.UC32-2	ST
O2.UC34-0	ST
O2.UC34-2	ST
O2.UC35-0	ST
O2.UC35-1	ST
O2.UC35-2	ST
O2.UC36-0	ST
O2.UC36-1	ST
O2.UC36-2	ST
O2.UC37-0	ST
O2.UC37-1	ST
O2.UC37-2	ST
O2.UC38-0	ST
O2.UC38-1	ST
O2.UC38-2	ST
O2.UC4-0	ST
O2.UC4-1	ST
O2.UC4-2	ST
O2.UC40-0	ST
O2.UC40-1	ST
O2.UC40-2	ST
O2.UC41-0	ST
O2.UC41-1	ST
O2.UC41-2	ST
O2.UC43-0	ST
O2.UC43-1	ST
O2.UC43-2	ST
O2.UC44-0	ST
O2.UC44-1	ST
O2.UC44-2	ST
O2.UC46-0	ST
O2.UC46-1	ST
O2.UC46-2	ST
O2.UC47-0	ST
O2.UC47-1	ST
O2.UC47-2	ST
O2.UC48-0	ST
O2.UC48-1	ST
O2.UC48-2	ST
O2.UC49-0	ST
O2.UC49-2	ST
O2.UC5-0	ST
O2.UC5-1	ST
O2.UC5-2	ST
O2.UC50-0	ST
O2.UC50-2	ST
O2.UC51-0	ST
O2.UC51-2	ST
O2.UC52-0	ST
O2.UC52-2	ST
O2.UC53-0	ST
O2.UC53-2	ST
O2.UC54-0	ST
O2.UC54-2	ST
O2.UC55-0	ST
O2.UC55-2	ST
O2.UC56-0	ST
O2.UC56-2	ST
O2.UC57-0	ST
O2.UC57-2	ST
O2.UC58-0	ST
O2.UC58-2	ST
O2.UC59-0	ST
O2.UC59-2	ST
O2.UC6-0	ST
O2.UC6-1	ST
O2.UC6-2	ST
O2.UC60-0	ST
O2.UC60-2	ST
O2.UC7-0	ST
O2.UC7-1	ST
O2.UC8-0	ST
O2.UC8-1	ST
O2.UC8-2	ST
O2.UC9-0	ST
O2.UC9-1	ST
O2.UC9-2	ST
SAMEA3136623	ST
SAMEA3136624	ST
SAMEA3136625	ST
SAMEA3136626	ST
SAMEA3136627	ST
SAMEA3136628	ST
SAMEA3136629	ST
SAMEA3136630	ST
SAMEA3136631	ST
SAMEA3136632	ST
SAMEA3136633	ST
SAMEA3136634	ST
SAMEA3136635	ST
SAMEA3136636	ST
SAMEA3136637	ST
SAMEA3136638	ST
SAMEA3136639	ST
SAMEA3136640	ST
SAMEA3136641	ST
SAMEA3136642	ST
SAMEA3136643	ST
SAMEA3136644	ST
SAMEA3136645	ST
SAMEA3136646	ST
SAMEA3136647	ST
SAMEA3136648	ST
SAMEA3136649	ST
SAMEA3136650	ST
SAMEA3136651	ST
SAMEA3136652	ST
SAMEA3136653	ST
SAMEA3136654	ST
SAMEA3136655	ST
SAMEA3136656	ST
SAMEA3136657	ST
SAMEA3136658	ST
SAMEA3136659	ST
SAMEA3136660	ST
SAMEA3136661	ST
SAMEA3136662	ST
SAMEA3136663	ST
SAMEA3136664	ST
SAMEA3136665	ST
SAMEA3136666	ST
SAMEA3136667	ST
SAMEA3136668	ST
SAMEA3136669	ST
SAMEA3136670	ST
SAMEA3136671	ST
SAMEA3136672	ST
SAMEA3136673	ST
SAMEA3136674	ST
SAMEA3136675	ST
SAMEA3136676	ST
SAMEA3136677	ST
SAMEA3136678	ST
SAMEA3136679	ST
SAMEA3136680	ST
SAMEA3136681	ST
SAMEA3136682	ST
SAMEA3136683	ST
SAMEA3136684	ST
SAMEA3136685	ST
SAMEA3136686	ST
SAMEA3136687	ST
SAMEA3136688	ST
SAMEA3136689	ST
SAMEA3136690	ST
SAMEA3136691	ST
SAMEA3136692	ST
SAMEA3136693	ST
SAMEA3136694	ST
SAMEA3136695	ST
SAMEA3136696	ST
SAMEA3136697	ST
SAMEA3136698	ST
SAMEA3136699	ST
SAMEA3136700	ST
SAMEA3136701	ST
SAMEA3136702	ST
SAMEA3136703	ST
SAMEA3136704	ST
SAMEA3136705	ST
SAMEA3136706	ST
SAMEA3136707	ST
SAMEA3136708	ST
SAMEA3136709	ST
SAMEA3136710	ST
SAMEA3136711	ST
SAMEA3136712	ST
SAMEA3136713	ST
SAMEA3136714	ST
SAMEA3136715	ST
SAMEA3136716	ST
SAMEA3136717	ST
SAMEA3136718	ST
SAMEA3136719	ST
SAMEA3136720	ST
SAMEA3136721	ST
SAMEA3136722	ST
SAMEA3136723	ST
SAMEA3136724	ST
SAMEA3136725	ST
SAMEA3136726	ST
SAMEA3136727	ST
SAMEA3136728	ST
SAMEA3136729	ST
SAMEA3136730	ST
SAMEA3136731	ST
SAMEA3136732	ST
SAMEA3136733	ST
SAMEA3136734	ST
SAMEA3136735	ST
SAMEA3136736	ST
SAMEA3136737	ST
SAMEA3136738	ST
SAMEA3136739	ST
SAMEA3136740	ST
SAMEA3136741	ST
SAMEA3136742	ST
SAMEA3136743	ST
SAMEA3136744	ST
SAMEA3136745	ST
SAMEA3136746	ST
SAMEA3136747	ST
SAMEA3136748	ST
SAMEA3136749	ST
SAMEA3136750	ST
SAMEA3136751	ST
SAMEA3136752	ST
SAMEA3136753	ST
SAMEA3136754	ST
SAMEA3136755	ST
SAMEA3136756	ST
SAMEA3136757	ST
SAMEA3136758	ST
SAMEA3136759	ST
SAMEA3136760	ST
SAMEA3136761	ST
SAMEA3136762	ST
SAMEA3136763	ST
SAMEA3136764	ST
SAMEA3136765	ST
SAMEA3136766	ST
SAMEA3136767	ST
SAMEA3136768	ST
SAMEA3136769	ST
SAMEA3178936	ST
SAMEA3178937	ST
SAMEA3178938	ST
SAMEA3178939	ST
SAMEA3178940	ST
SAMEA3178941	ST
SAMEA3178942	ST
SAMEA3178943	ST
SAMEA3178944	ST
TARA_004_DCM_0.22-1.6_G	OC
TARA_004_SRF_0.22-1.6_G	OC
TARA_007_DCM_0.22-1.6_G	OC
TARA_007_SRF_0.22-1.6_G	OC
TARA_009_DCM_0.22-1.6_G	OC
TARA_009_SRF_0.22-1.6_G	OC
TARA_018_DCM_0.22-1.6_G	OC
TARA_018_SRF_0.22-1.6_G	OC
TARA_023_DCM_0.22-1.6_G	OC
TARA_023_SRF_0.22-1.6_G	OC
TARA_025_DCM_0.22-1.6_G	OC
TARA_025_SRF_0.22-1.6_G	OC
TARA_030_DCM_0.22-1.6_G	OC
TARA_030_SRF_0.22-1.6_G	OC
TARA_031_SRF_0.22-1.6_G	OC
TARA_032_DCM_0.22-1.6_G	OC
TARA_032_SRF_0.22-1.6_G	OC
TARA_033_SRF_0.22-1.6_G	OC
TARA_034_DCM_0.22-1.6_G	OC
TARA_034_SRF_0.22-1.6_G	OC
TARA_036_DCM_0.22-1.6_G	OC
TARA_036_SRF_0.22-1.6_G	OC
TARA_037_MES_0.22-1.6_G	OC
TARA_038_DCM_0.22-1.6_G	OC
TARA_038_MES_0.22-1.6_G	OC
TARA_038_SRF_0.22-1.6_G	OC
TARA_039_DCM_0.22-1.6_G	OC
TARA_039_MES_0.22-1.6_G	OC
TARA_041_DCM_0.22-1.6_G	OC
TARA_041_SRF_0.22-1.6_G	OC
TARA_042_DCM_0.22-1.6_G	OC
TARA_042_SRF_0.22-1.6_G	OC
TARA_045_SRF_0.22-1.6_G	OC
TARA_048_SRF_0.22-1.6_G	OC
TARA_052_DCM_0.22-1.6_G	OC
TARA_052_SRF_0.22-1.6_G	OC
TARA_056_MES_0.22-3_G	OC
TARA_056_SRF_0.22-3_G	OC
TARA_057_SRF_0.22-3_G	OC
TARA_058_DCM_0.22-3_G	OC
TARA_062_SRF_0.22-3_G	OC
TARA_064_DCM_0.22-3_G	OC
TARA_064_MES_0.22-3_G	OC
TARA_064_SRF_0.22-3_G	OC
TARA_065_DCM_0.22-3_G	OC
TARA_065_MES_0.22-3_G	OC
TARA_065_SRF_0.22-3_G	OC
TARA_066_DCM_0.22-3_G	OC
TARA_066_SRF_0.22-3_G	OC
TARA_067_SRF_0.22-3_G	OC
TARA_068_DCM_0.22-3_G	OC
TARA_068_MES_0.22-3_G	OC
TARA_068_SRF_0.22-3_G	OC
TARA_070_MES_0.22-3_G	OC
TARA_070_SRF_0.22-3_G	OC
TARA_072_DCM_0.22-3_G	OC
TARA_072_MES_0.22-3_G	OC
TARA_072_SRF_0.22-3_G	OC
TARA_076_DCM_0.22-3_G	OC
TARA_076_MES_0.22-3_G	OC
TARA_076_SRF_0.22-3_G	OC
TARA_078_DCM_0.22-3_G	OC
TARA_078_MES_0.22-3_G	OC
TARA_078_SRF_0.22-3_G	OC
TARA_082_DCM_0.22-3_G	OC
TARA_082_SRF_0.22-3_G	OC
TARA_084_SRF_0.22-3_G	OC
TARA_085_DCM_0.22-3_G	OC
TARA_085_MES_0.22-3_G	OC
TARA_085_SRF_0.22-3_G	OC
TARA_093_DCM_0.22-3_G	OC
TARA_093_SRF_0.22-3_G	OC
TARA_094_SRF_0.22-3_G	OC
TARA_096_SRF_0.22-3_G	OC
TARA_098_DCM_0.22-3_G	OC
TARA_098_MES_0.22-3_G	OC
TARA_098_SRF_0.22-3_G	OC
TARA_099_SRF_0.22-3_G	OC
TARA_100_DCM_0.22-3_G	OC
TARA_100_MES_0.22-3_G	OC
TARA_100_SRF_0.22-3_G	OC
TARA_102_DCM_0.22-3_G	OC
TARA_102_MES_0.22-3_G	OC
TARA_102_SRF_0.22-3_G	OC
TARA_109_DCM_0.22-3_G	OC
