ref_mOTU_v2_0001	1410657.PRJNA223467
ref_mOTU_v2_0001	1410658.PRJNA223501
ref_mOTU_v2_0001	1410659.PRJNA223465
ref_mOTU_v2_0002	1000565.PRJNA64645
ref_mOTU_v2_0002	983952.PRJNA81137
ref_mOTU_v2_0003	1000568.PRJNA64689
ref_mOTU_v2_0003	699218.PRJNA42553
ref_mOTU_v2_0004	1000570.PRJDB75
ref_mOTU_v2_0004	1000570.PRJNA169750
ref_mOTU_v2_0004	1000570.PRJNA64677
ref_mOTU_v2_0004	1095731.PRJDB77
ref_mOTU_v2_0004	1163302.PRJDB80
ref_mOTU_v2_0004	742820.PRJNA46427
ref_mOTU_v2_0004	862970.PRJNA50423
ref_mOTU_v2_0005	1403946.PRJNA221494
ref_mOTU_v2_0006	1000589.PRJNA64681
ref_mOTU_v2_0006	1005706.PRJNA65585
ref_mOTU_v2_0006	1247189.PRJDB689
ref_mOTU_v2_0006	486410.PRJDA27849
ref_mOTU_v2_0006	617121.PRJDA34711
ref_mOTU_v2_0006	663952.PRJNA39781
ref_mOTU_v2_0006	663954.PRJNA39783
ref_mOTU_v2_0006	759913.PRJNA48119
ref_mOTU_v2_0007	1000590.PRJNA64683
ref_mOTU_v2_0007	1115805.PRJNA156777
ref_mOTU_v2_0007	1155130.PRJNA86755
ref_mOTU_v2_0007	1155131.PRJNA86757
ref_mOTU_v2_0007	1155132.PRJNA86759
ref_mOTU_v2_0007	1155133.PRJNA86761
ref_mOTU_v2_0007	1155134.PRJNA86763
ref_mOTU_v2_0007	1155135.PRJNA86765
ref_mOTU_v2_0007	1213731.PRJNA171275
ref_mOTU_v2_0007	1220510.PRJNA171207
ref_mOTU_v2_0007	1235440.PRJNA175894
ref_mOTU_v2_0007	1282.PRJNA231221
ref_mOTU_v2_0007	1282.PRJNA238030
ref_mOTU_v2_0007	1282.PRJNA241149
ref_mOTU_v2_0007	1282.PRJNA244351
ref_mOTU_v2_0007	1282.PRJNA246628
ref_mOTU_v2_0007	1294271.PRJNA189499
ref_mOTU_v2_0007	1294272.PRJNA189500
ref_mOTU_v2_0007	1327991.PRJNA198773
ref_mOTU_v2_0007	1344987.PRJNA207999
ref_mOTU_v2_0007	1344988.PRJNA207998
ref_mOTU_v2_0007	1344989.PRJNA207997
ref_mOTU_v2_0007	1344990.PRJNA207996
ref_mOTU_v2_0007	1344992.PRJNA207994
ref_mOTU_v2_0007	1344994.PRJNA207992
ref_mOTU_v2_0007	1344996.PRJNA207990
ref_mOTU_v2_0007	1344997.PRJNA207989
ref_mOTU_v2_0007	1344998.PRJNA207987
